district,year,owner,usage_ha
Gewerbeschule,2035,private housing,6.1722
Gewerbeschule,2036,cooperative housing,7.6396
Gewerbeschule,2036,private housing,5.9302
Gewerbeschule,2037,cooperative housing,7.34
Gewerbeschule,2037,private housing,5.6977
Gewerbeschule,2038,cooperative housing,7.0522
Gewerbeschule,2038,private housing,5.4742
Gewerbeschule,2039,cooperative housing,6.7757
Gewerbeschule,2039,private housing,5.2596
Gewerbeschule,2040,cooperative housing,6.51
Gewerbeschule,2040,private housing,5.0534
Gewerbeschule,2041,cooperative housing,6.2547
Gewerbeschule,2041,private housing,4.8552
Gewerbeschule,2042,cooperative housing,6.0095
Gewerbeschule,2042,private housing,4.6648
Gewerbeschule,2043,cooperative housing,5.7739
Gewerbeschule,2043,private housing,4.4819
Gewerbeschule,2044,cooperative housing,5.5475
Gewerbeschule,2044,private housing,4.3062
Gewerbeschule,2045,cooperative housing,5.3299
Gewerbeschule,2045,private housing,4.1373
Gewerbeschule,2046,cooperative housing,5.121
Gewerbeschule,2046,private housing,3.9751
Gewerbeschule,2047,cooperative housing,4.9202
Gewerbeschule,2047,private housing,3.8193
Gewerbeschule,2048,cooperative housing,4.7272
Gewerbeschule,2048,private housing,3.6695
Gewerbeschule,2049,cooperative housing,4.5419
Gewerbeschule,2049,private housing,3.5256
Gewerbeschule,2050,cooperative housing,4.3638
Gewerbeschule,2050,private housing,3.3874
Escher Wyss,2021,cooperative housing,22.7133
Escher Wyss,2021,private housing,47.5089
Escher Wyss,2022,cooperative housing,21.8227
Escher Wyss,2022,private housing,45.646
Escher Wyss,2023,cooperative housing,20.967
Escher Wyss,2023,private housing,43.8562
Escher Wyss,2024,cooperative housing,20.1449
Escher Wyss,2024,private housing,42.1366
Escher Wyss,2025,cooperative housing,19.355
Escher Wyss,2025,private housing,40.4844
Escher Wyss,2026,cooperative housing,18.5961
Escher Wyss,2026,private housing,38.897
Escher Wyss,2027,cooperative housing,17.8669
Escher Wyss,2027,private housing,37.3718
Escher Wyss,2028,cooperative housing,17.1663
Escher Wyss,2028,private housing,35.9064
Escher Wyss,2029,cooperative housing,16.4932
Escher Wyss,2029,private housing,34.4985
Escher Wyss,2030,cooperative housing,15.8465
Escher Wyss,2030,private housing,33.1458
Escher Wyss,2031,cooperative housing,15.2252
Escher Wyss,2031,private housing,31.8461
Escher Wyss,2032,cooperative housing,14.6282
Escher Wyss,2032,private housing,30.5974
Escher Wyss,2033,cooperative housing,14.0546
Escher Wyss,2033,private housing,29.3977
Escher Wyss,2034,cooperative housing,13.5035
Escher Wyss,2034,private housing,28.245
